id,name,color,type
1,刘备,gold
2,关羽,gold
3,张飞,gold
4,关平,gold
5,曹操,gold
6,孙权,gold
7,诸葛亮,gold
8,周瑜,gold
9,赵云,gold
10,马超,gold
11,黄忠,gold
12,吕布,gold
13,貂蝉,gold
14,大乔,gold
15,小乔,gold
16,甘宁,gold
17,太史慈,gold
18,张辽,gold
19,贾诩,gold
20,许褚,gold
21,荀彧,gold
22,袁绍,gold
23,袁术,gold
24,华雄,gold
25,董卓,gold
26,孙尚香,gold
27,步练师,gold
28,张郃,gold
29,庞统,gold
30,荀攸,gold
31,程昱,gold
32,徐晃,gold
33,郭嘉,gold
34,法正,gold
35,司马懿,gold
36,曹丕,gold
37,孟获,gold
38,祝融夫人,gold
39,孙坚,gold
40,鲁肃,gold
41,黄盖,gold
42,潘璋,gold
43,甘宁,gold
44,陈宫,gold
45,王异,gold
46,张任,gold
47,马谡,gold
48,诸葛瑾,gold
49,徐庶,gold
50,凌统,gold
51,陈到,blue
52,徐盛,gold
53,韩当,blue
54,丁奉,blue
55,曹仁,gold
56,曹洪,blue
57,文聘,blue
58,乐进,gold
59,于禁,gold
60,李典,blue
61,满宠,blue
62,郝昭,blue
63,贾充,blue
64,王双,blue
65,张翼,blue
66,张虎,blue
67,何晏,blue
68,王朗,blue
69,王平,blue
70,李严,blue
71,刘禅,blue
72,廖化,blue
73,费祎,blue
74,姜维,gold
75,杨修,blue
76,马岱,blue
77,夏侯惇,gold
78,夏侯渊,gold
79,鲁肃,gold
80,凌统,blue
81,程普,gold
82,徐盛,gold
83,韩浩,blue
84,孔融,blue
85,金旋,blue
86,鲁芝,blue
87,文丑,gold
88,顾雍,blue
89,张苞,blue
90,曹植,gold
91,张松,blue
92,刘巴,blue
93,孙策,gold
94,甘宁,gold
95,陆逊,gold
96,黄权,blue
97,董允,blue
98,刘封,blue
99,彭羕,blue
100,沙摩柯,blue
